Artist + song,Track ID,reducedGenre
Meat Loaf - I'd Do Anything For Love (But I Won't Do That),3IuSgREoO5y88HdIcE2Xee,Rock
Dajae - U Got Me Up,3WlmSP8J5HjgHjYlm1K8jn,Electronic
Tony Toni Toné - If I Had No Loot,5oPRLER8bCQN3RFFVvLbTC,R&B
Rene Froger - Calling Out Your Name (Ruby),7EqjN7tvBGwDXfNSEoAF72,Rock
Melissa Etheridge - I'm The Only One,4veE1jrMbVSy9FRCiYDGkD,Folk/Acoustic
Melodie MC - Dum Da Dum,4VKbwCqcvG1vifu7WxpvdB,Pop
Stray Cats - Rock This Town,76QROs4fG55sZLuctKd5Wu,Easy listening
Blondie - Rapture,6F2vo4sxRNQ58VYe3pdiaL,Rock
Talking Heads - Once In A Lifetime,38Ngied9rBORlAbLYNCl4k,Rock
Sister Sledge - All American Girls,28gKFaRNe013GtaKLtiHbH,R&B
Phil Collins - In The Air Tonight,18AXbzPzBS8Y3AkgSxzJPb,Jazz
Patty Brard - Hold On To Love,1881zrnYEo5KpnjtSchDvz,Pop
Sandy Coast - The Eyes Of Jenny,6w8T2AwZ4k47OF1w2Jj2e1,Rock
Supertramp - Dreamer [Live],6hhnHVRnnhbsQXxqQwp1fp,Rock
The Whispers - It's A Love Thing,2cG8UHHDmVEa7H1U1cG96I,R&B
Yarbrough & Peoples - Don't Stop The Music,3Ik70XpNvyJ3wV3dxPw90w,R&B
Sugar and The Lollipops - I Can Dance,5Cd3xWycwEnNTPdMt2PpXw,Latin
Rod Stewart - My Girl,1WYmJQg4ZZj2HbDrM6KvOz,Rock
Dolly Dots - Leila (The Queen Of Sheba),2vAgwv2EDjgz78igY3moIg,Pop
The Pretenders - Message Of Love,5DbaLLjxAmlGfgyfroxwOq,Rock
Stevie Wonder - I Ain't Gonna Stand For It,4bHyimydtSofP9RFMdUCJq,R&B
Kinderen Voor Kinderen - Ik Heb Zo Waanzinnig Gedroomd,4A7tc8ZBC1fsJaNErPnWCo,Easy listening
"Neil Diamond - Hello Again (Love Theme from ""The Jazz Singer"")",1h9JJkK1rEqMrkuuU4vRSP,Rock
Sommerset - Viva La Musica,1kecas9OXlVpWq4rKgBiB6,Pop
Maywood - Distant Love,1krFlD57GyURPEIstQMzfL,Pop
Dingetje - Houtochdiekop,6S1tG4q9SyRS9maOb5vrVw,Pop
